"What is the national flower of Malaysia?","Hibiscus","Rafflesia","Orchid","Tulip","Hibiscus"
"What is the legal age for voting in Singapore?","21","18","25","20","21"
"Which Thai festival is known for water fights?","Songkran","Loi Krathong","Vesak","Phi Ta Khon","Songkran"
"In Malaysia, which island is known for its beautiful beaches and clear waters?","Langkawi","Penang","Borneo","Sumatra","Langkawi"
"What is the name of the river that flows through Bangkok, Thailand?","Chao Phraya River","Mekong River","Nile River","Irrawaddy River","Chao Phraya River"
"What is the currency of Singapore?","Singapore Dollar","Thai Baht","Malaysian Ringgit","Indonesian Rupiah","Singapore Dollar"
"Which language is most commonly spoken in Malaysia?","Malay (Bahasa Malaysia)","English","Mandarin","Tamil","Malay (Bahasa Malaysia)"
"In which year did Singapore gain independence from Malaysia?","1965","1957","1971","1980","1965"
"What is the name of the iconic twin towers in Kuala Lumpur?","Petronas Towers","Singapore Flyer","Merlion Towers","Marina Bay Sands","Petronas Towers"
"What is the official religion of Thailand?","Buddhism","Christianity","Islam","Hinduism","Buddhism"
"Which Malaysian state is famous for its tea plantations?","Cameron Highlands","Penang","Langkawi","Melaka","Cameron Highlands"
"What is the official religion of Malaysia?","Islam","Buddhism","Christianity","Hinduism","Islam"
"Which Thai dish is made from stir-fried noodles, shrimp, and peanuts?","Pad Thai","Green Curry","Tom Yum","Massaman Curry","Pad Thai"
"What is the name of the famous river market in Thailand?","Damnoen Saduak","Chao Phraya","Kwai River","Mae Klong","Damnoen Saduak"
"What is the national animal of Singapore?","Merlion","Lion","Tiger","Elephant","Merlion"
"In Malaysia, which island is known for its historical heritage and UNESCO-listed George Town?","Penang","Langkawi","Redang","Tioman","Penang"
"Which Thai festival is known for releasing lanterns into the sky?","Loi Krathong","Songkran","Vesak","Magha Puja","Loi Krathong"
"What is the nickname for Singapore due to its strict laws and regulations?","Fine City","Garden City","Merlion City","Lion City","Fine City"
"In which Malaysian state can you find the famous Batu Caves?","Selangor","Melaka","Johor","Pahang","Selangor"
"What is the national sport of Thailand?","Muay Thai (Thai Boxing)","Badminton","Sepak Takraw (Kick Volleyball)","Cricket","Muay Thai (Thai Boxing)"
"What is the traditional clothing worn by Malays in Malaysia?","Baju Melayu","Barong Tagalog","Sampot","Shalwar Kameez","Baju Melayu"
"Which Thai temple complex is known for its reclining Buddha statue?","Wat Pho","Wat Phra Kaew","Wat Arun","Wat Suthat","Wat Pho"
"What is the name of the Malaysian dish consisting of spiced rice and a variety of side dishes?","Nasi Lemak","Nasi Goreng","Mee Goreng","Laksa","Nasi Lemak"
"Which river is the longest in Thailand?","Chao Phraya River","Mekong River","Nan River","Yom River","Mekong River"
"What is the official language of Singapore?","Malay","English","Mandarin","Tamil","English"
"What is the name of the famous suspension bridge in Kuala Lumpur?","Menara Tower","Singapore Flyer","Petronas Towers","KL Tower","Petronas Towers"
"Which Thai island is known for its full moon parties?","Koh Samui","Koh Phi Phi","Koh Tao","Koh Phangan","Koh Phangan"
"What is the name of the Singaporean dish made of stir-fried rice noodles, eggs, shrimp, and vegetables?","Char Kway Teow","Hainanese Chicken Rice","Laksa","Satay","Char Kway Teow"
"In which state of Malaysia is the city of Malacca (Melaka) located?","Perak","Johor","Melaka","Selangor","Melaka"
"Which Thai city is famous for its annual flower festival?","Chiang Mai","Bangkok","Phuket","Pattaya","Chiang Mai"
"What is the official name of Malaysia's national anthem?","Negaraku","Rukunegara","Jalur Gemilang","Majulah Singapura","Negaraku"
"What is the largest island in Thailand?","Phuket","Koh Samui","Koh Chang","Koh Tao","Phuket"
"In Singapore, what is the iconic symbol that combines a lion's head and a fish body?","Mermaid","Mermaidon","Merlion","Merphish","Merlion"
"What is the name of the famous street food district in Bangkok, Thailand?","Khaosan Road","Sukhumvit Road","Silom Road","Patpong Road","Khaosan Road"
"What is the national animal of Malaysia?","Malayan Tiger","Orangutan","Pygmy Elephant","Hornbill","Malayan Tiger"
"Which Thai city is known as the 'Rose of the North'?","Chiang Mai","Chiang Rai","Pattaya","Hua Hin","Chiang Mai"
"In Singapore, what is the name of the iconic Ferris wheel?","Singapore Eye","Singapore Flyer","Singapore Wheel","Singapore Sky","Singapore Flyer"
"What is the national dish of Thailand?","Pad Thai","Green Curry","Som Tum (Papaya Salad)","Massaman Curry","Som Tum (Papaya Salad)"
"In Malaysia, which state is famous for its Batik art and culture?","Kelantan","Terengganu","Sarawak","Perak","Kelantan"
"What is the name of the annual water festival celebrated in Thailand?","Songkran","Loi Krathong","Vesak","Magha Puja","Songkran"
"What is the national flower of Thailand?","Orchid","Lotus","Rafflesia","Sunflower","Orchid"
"Which island in Malaysia is known for its diverse marine life and coral reefs?","Tioman Island","Penang Island","Langkawi Island","Redang Island","Tioman Island"
"What is the currency of Thailand?","Baht","Dirham","Kip","Dong","Baht"
"Which famous Malaysian dish is a fragrant rice dish cooked with coconut milk and pandan leaves?","Nasi Kandar","Nasi Lemak","Nasi Goreng","Nasi Kerabu","Nasi Lemak"
"What is the name of the highest mountain in Thailand?","Doi Inthanon","Doi Suthep","Doi Pui","Doi Tung","Doi Inthanon"
"In which year did Singapore become an independent republic?","1965","1957","1971","1980","1965"
"What is the official name of Thailand?","Kingdom of Thailand","Republic of Thailand","Empire of Thailand","Union of Thailand","Kingdom of Thailand"
"Which Malaysian state is known for its delicious durians?","Pahang","Johor","Kedah","Perak","Pahang"
"What is the traditional Thai greeting?","Sawasdee Krub (for males) / Sawasdee Ka (for females)","Kop khun krub","Ka pun krub","Suk san wan song wan","Sawasdee Krub (for males) / Sawasdee Ka (for females)"
"Which island country is located to the south of Singapore?","Indonesia","Philippines","Brunei","Maldives","Indonesia"
